Average Train Loss 0.00256385 | step 4820 | Epoch 0
Average Train Loss 0.00266405 | step 4830 | Epoch 0
Average Train Loss 0.00261911 | step 4840 | Epoch 0
Average Train Loss 0.00255261 | step 4850 | Epoch 0
Average Train Loss 0.00239983 | step 4860 | Epoch 0
Average Train Loss 0.00245618 | step 4870 | Epoch 0
Average Train Loss 0.00266143 | step 4880 | Epoch 0
Average Train Loss 0.00279584 | step 4890 | Epoch 0
Average Train Loss 0.00276549 | step 4900 | Epoch 0
Average Train Loss 0.00261798 | step 4910 | Epoch 0
Average Train Loss 0.00280038 | step 4920 | Epoch 0
Average Train Loss 0.00273778 | step 4930 | Epoch 0
Average Train Loss 0.00269051 | step 4940 | Epoch 0
Average Train Loss 0.00247437 | step 4950 | Epoch 0
Average Train Loss 0.00261229 | step 4960 | Epoch 0
Average Train Loss 0.00284108 | step 4970 | Epoch 0
Average Train Loss 0.00263657 | step 4980 | Epoch 0
Average Train Loss 0.00262638 | step 4990 | Epoch 0
